# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	916
#@/user_id	iMac-Home
a 	啊	c=13 d=5.83761 t=916
sha 	啥	c=3 d=1.05389 t=916
sha de 	啥的	c=3 d=0.865022 t=916
sha jie zou 	啥節奏	c=1 d=0.394554 t=916
sha wan yi 	啥玩意	c=1 d=0.900325 t=916
shang 	上	c=1 d=0.67186 t=916
shang hai 	傷害	c=1 d=0.474734 t=916
shang ping 	上屏	c=1 d=1 t=636
shang shi qu 	上時區	c=1 d=0.97531 t=916
shang xian 	上線	c=0 d=0.0937067 t=916
shang yin 	上癮	c=1 d=0.574072 t=916
she zhi 	設置	c=2 d=1.49411 t=888
shen 	沈	c=1 d=0.755784 t=916
shen 	神	c=1 d=0.402524 t=916
shen me 	什麼	c=1 d=1 t=598
shen zhi 	甚至	c=1 d=0.802519 t=916
sheng huo 	生活	c=1 d=0.612626 t=916
sheng ji 	升級	c=1 d=0.554327 t=916
sheng pi zi 	生僻字	c=1 d=1 t=666
sheng qian 	省錢	c=0 d=0.1 t=778
shi 	事	c=1 d=0.995012 t=916
shi 	是	c=5 d=1.73442 t=916
shi ba 	是吧	c=1 d=0.752014 t=916
shi bu shi 	是不是	c=1 d=0.759572 t=916
shi fou 	是否	c=1 d=0.878801 t=839
shi fou ke yi 	是否可以	c=1 d=1 t=840
shi ge 	是個	c=1 d=1 t=854
shi hou 	時候	c=1 d=1 t=697
shi ji shang 	實際上	c=1 d=1 t=852
shi jian 	實踐	c=1 d=0.348192 t=916
shi pin 	視頻	c=1 d=1 t=700
shi qu 	時區	c=1 d=0.223678 t=916
shi xian 	實現	c=1 d=0.631284 t=916
shi you 	室友	c=1 d=0.412714 t=916
shi za de 	是咋的	c=1 d=0.400517 t=916
shi zhen xiang 	是真香	c=1 d=1 t=649
shou dao 	收到	c=0 d=0.0527292 t=916
shou dao le 	收到了	c=1 d=0.529935 t=916
shou fu 	首付	c=1 d=0.514274 t=916
shou ji 	收集	c=0 d=0.0357007 t=916
shou ji duan 	收集端	c=1 d=0.358796 t=916
shu chu dao 	輸出到	c=1 d=0.45612 t=916
shu fu 	舒服	c=1 d=0.161115 t=594
shu fu duo le 	舒服多了	c=1 d=1 t=595
shu ju 	數據	c=0 d=0.153829 t=916
shu ju bi jiao shao 	數據比較少	c=1 d=0.778801 t=916
shu ju liang 	數據量	c=0 d=0.0909373 t=916
shu ru 	輸入	c=1 d=0.68112 t=872
shu ru fa 	輸入法	c=7 d=1.44396 t=916
shu ru fang an 	輸入方案	c=2 d=1.53526 t=885
shu ru xuan dan 	輸入選單	c=1 d=1 t=873
shu xu guan 	鼠鬚管	c=5 d=0.9639 t=916
shua cheng 	刷成	c=1 d=0.315058 t=916
shun jian 	瞬間	c=0 d=0.133287 t=878
shun jian gan jue 	瞬間感覺	c=1 d=1 t=659
shun jian ming bai le 	瞬間明白了	c=1 d=1 t=879
si 	死	c=1 d=0.582748 t=916
sou gou 	搜狗	c=10 d=3.09845 t=916
sou gou ci ku wen le 	搜狗詞庫穩了	c=1 d=1 t=1
suan le 	算了	c=0 d=0.0458406 t=916
sui xing 	隨性	c=0 d=0.0634448 t=916
sui xing er wei 	隨性而爲	c=1 d=0.637628 t=916
ta 	它	c=1 d=0.346456 t=916
ta hao xiang 	它好像	c=1 d=0.271173 t=916
tai 	太	c=1 d=1 t=588
tai duan 	太短	c=1 d=0.733447 t=916
tao lu 	套路	c=1 d=0.752014 t=916
te ding 	特定	c=0 d=0.0806541 t=916
te ding can shu 	特定參數	c=1 d=0.810584 t=916
te me de 	特麼的	c=1 d=0.955997 t=916
ti qu 	提去	c=1 d=1 t=890
ti shi 	提示	c=3 d=0.67032 t=916
tian 	天	c=1 d=0.337902 t=916
tian 	舔	c=1 d=0.34561 t=916
tian jin 	天津	c=1 d=0.522046 t=916
tian lan gan 	舔欄杆	c=1 d=0.489192 t=916
tian yuan 	田園	c=1 d=0.609571 t=916
tiao 	調	c=1 d=1 t=604
tiao le 	調了	c=0 d=0.1 t=28
tiao le ban tian 	調了半天	c=1 d=1 t=29
tiao zheng 	調整	c=4 d=1.93001 t=916
tiao zheng tiao zheng 	調整調整	c=1 d=1 t=722
tie he 	貼合	c=1 d=0.404542 t=916
ting 	停	c=1 d=0.319819 t=916
tong bu 	同步	c=3 d=2.1427 t=916
tong yi 	統一	c=1 d=0.447088 t=916
tui jian 	推薦	c=0 d=0.0506617 t=916
tui jian ni 	推薦你	c=1 d=0.509156 t=916
wa 	哇	c=1 d=1 t=731
wai jia 	外加	c=2 d=0.860708 t=916
wan le 	完了	c=1 d=0.366675 t=916
wan ming 	玩命	c=1 d=0.398519 t=916
